acq_date,hotspot,sst_std,sst_anom,oni_std,oni_anom,soi_std,soi_anom
2001-01-31,3,25.81,-0.76,25.88,-0.68,1.0,1.6
2001-02-28,5,26.18,-0.56,26.26,-0.52,1.7,2.8
2001-03-31,10,26.86,-0.37,26.76,-0.44,0.9,1.5
2001-04-30,20,27.24,-0.56,27.25,-0.34,0.2,0.3
2001-05-31,39,27.42,-0.46,27.49,-0.25,-0.5,-0.8
2001-06-30,8,27.55,-0.16,27.47,-0.12,0.3,0.5
2001-07-31,189,27.19,-0.11,27.2,-0.08,-0.2,-0.3
2001-08-31,171,26.81,-0.09,26.86,-0.13,-0.4,-0.7
2001-09-30,142,26.58,-0.19,26.63,-0.19,0.2,0.3
2001-10-31,20,26.52,-0.25,26.48,-0.29,0.0,-0.1
2001-11-30,13,26.35,-0.48,26.37,-0.35,0.7,1.1
2001-12-31,4,26.11,-0.53,26.31,-0.31,-0.8,-1.4
2002-01-31,25,26.36,-0.2,26.44,-0.15,0.4,0.7
2002-02-28,12,26.76,0.03,26.81,0.03,1.1,1.8
2002-03-31,5,27.17,-0.06,27.29,0.09,-0.2,-0.4
2002-04-30,14,27.84,0.03,27.8,0.2,-0.1,-0.1
2002-05-31,22,28.07,0.19,28.18,0.43,-0.8,-1.4
2002-06-30,78,28.31,0.6,28.24,0.65,-0.2,-0.4
2002-07-31,210,27.88,0.58,28.06,0.79,-0.5,-0.8
2002-08-31,3327,27.56,0.66,27.85,0.86,-1.0,-1.6
2002-09-30,2829,27.61,0.85,27.83,1.01,-0.6,-1.0
2002-10-31,3724,27.79,1.02,27.97,1.21,-0.4,-0.6
2002-11-30,237,28.03,1.2,28.03,1.31,-0.5,-0.7
2002-12-31,17,27.94,1.3,27.76,1.14,-1.1,-1.8
2003-01-31,17,27.45,0.88,27.51,0.92,-0.2,-0.3
2003-02-28,4,27.39,0.65,27.41,0.63,-0.7,-1.1
2003-03-31,26,27.73,0.5,27.58,0.38,-0.3,-0.5
2003-04-30,22,27.67,-0.14,27.56,-0.04,-0.1,-0.2
